gene_name	number_of_transposon_per_gene	number_of_read_pergene
YCR087C-A 	9 	135 	
ABP1 	33 	793 	
FIG2 	45 	776 	
YCR090C 	6 	48 	
KIN82 	23 	1754 	
MSH3 	40 	1079 	
CDC39 	13 	97 	
CDC50 	8 	18 	
OCA4 	7 	117 	
YCR095W-A 	1 	0 	
HMRA2 	0 	0 	
HMRA1 	16 	72 	
YCR097W-A 	2 	13 	
GIT1 	28 	534 	
YCR099C 	3 	6 	
YCR100C 	4 	64 	
YCR101C 	5 	16 	
YCR102C 	12 	263 	
YCR102W-A 	2 	1 	
PAU3 	7 	58 	
ADH7 	19 	425 	
RDS1 	22 	598 	
AAD3 	15 	264 	
YCR108C 	5 	12 	
COS7 	2 	3 	
YDL247W-A 	0 	0 	
MPH2 	3 	174 	
SOR2 	3 	3 	
HXT15 	2 	12 	
THI13 	7 	131 	
AAD4 	21 	991 	
YDL242W 	13 	579 	
YDL241W 	4 	5 	
YDL240C-A 	12 	205 	
LRG1 	29 	577 	
ADY3 	17 	189 	
GUD1 	22 	390 	
AIM6 	11 	65 	
PHO13 	9 	80 	
YPD1 	0 	0 	
GYP7 	26 	673 	
MFG1 	13 	214 	
OST4 	0 	0 	
BRE4 	30 	404 	
PTP1 	18 	366 	
SSB1 	12 	234 	
YDL228C 	4 	59 	
HO 	54 	854 	
GCS1 	9 	114 	
SHS1 	10 	146 	
WHI4 	15 	226 	
HBT1 	41 	632 	
FMP45 	9 	49 	
YDL221W 	38 	1866 	
CDC13 	26 	1545 	
DTD1 	2 	1 	
YDL218W 	16 	407 	
TIM22 	0 	0 	
RRI1 	24 	415 	
GDH2 	36 	1427 	
PRR2 	31 	981 	
NOP6 	9 	111 	
SHR3 	4 	22 	
YDL211C 	25 	617 	
UGA4 	28 	554 	
CWC2 	1 	0 	
NHP2 	3 	3 	
GLE1 	4 	12 	
YDL206W 	18 	257 	
HEM3 	2 	1 	
RTN2 	16 	670 	
ACK1 	15 	271 	
MRPL11 	1 	0 	
TRM8 	17 	494 	
MGT1 	11 	302 	
YDL199C 	21 	295 	
GGC1 	20 	268 	
ASF2 	34 	966 	
YDL196W 	22 	634 	
SEC31 	1 	0 	
SNF3 	18 	138 	
NUS1 	2 	2 	
ARF1 	7 	98 	
RPL35A 	1 	0 	
UFD2 	24 	911 	
RBS1 	21 	187 	
PPH22 	13 	90 	
YDL187C 	9 	36 	
YDL186W 	5 	36 	
YDL185C-A 	3 	17 	
VMA1 	3 	3 	
RPL41A 	0 	0 	
YDL183C 	15 	294 	
LYS20 	14 	338 	
INH1 	7 	50 	
YDL180W 	10 	55 	
PCL9 	8 	131 	
DLD2 	44 	1172 	
YDL177C 	10 	150 	
YDL176W 	23 	242 	
AIR2 	13 	143 	
DLD1 	38 	1246 	
PAR32 	16 	253 	
YDL172C 	9 	72 	
GLT1 	78 	2633 	
UGA3 	22 	621 	
UGX2 	4 	12 	
SFA1 	11 	408 	
NRP1 	19 	403 	
FAP7 	1 	0 	
CDC36 	3 	13 	
CDC9 	5 	96 	
YDL163W 	4 	92 	
YDL162C 	14 	399 	
ENT1 	12 	505 	
MHF2 	4 	74 	
DHH1 	2 	4 	
YDL159W-A 	6 	112 	
STE7 	25 	705 	
YDL159C-B 	1 	0 	
YDL158C 	6 	20 	
YDL157C 	6 	24 	
CMR1 	35 	1392 	
CLB3 	11 	278 	
MSH5 	41 	1341 	
SAS10 	0 	0 	
YDL152W 	5 	27 	
BUD30 	1 	0 	
RPC53 	1 	0 	
ATG9 	17 	324 	
NOP14 	10 	182 	
RPN5 	0 	0 	
LDB17 	11 	69 	
COP1 	4 	85 	
YDL144C 	25 	467 	
CCT4 	1 	0 	
CRD1 	21 	301 	
BPL1 	2 	1 	
RPO21 	4 	9 	
SCM3 	0 	0 	
RGT2 	29 	702 	
ARF2 	17 	283 	
RPL35B 	5 	20 	
RDI1 	6 	54 	
PPH21 	11 	141 	
RPL41B 	1 	0 	
SRF1 	12 	351 	
CDC53 	5 	15 	
LYS21 	17 	462 	
STF1 	4 	43 	
RPP1B 	5 	16 	
YDL129W 	12 	137 	
VCX1 	16 	114 	
PCL2 	27 	543 	
CDC48 	0 	0 	
HNT1 	13 	86 	
YDL124W 	17 	594 	
SNA4 	12 	290 	
UBP1 	20 	500 	
YDL121C 	14 	601 	
YFH1 	1 	0 	
YDL119C 	16 	407 	
YDL118W 	5 	25 	
CYK3 	30 	466 	
NUP84 	6 	67 	
IWR1 	14 	237 	
YDL114W-A 	0 	0 	
YDL114W 	17 	291 	
ATG20 	21 	557 	
TRM3 	48 	1013 	
RRP42 	1 	0 	
TMA17 	9 	76 	
YDL109C 	47 	856 	
KIN28 	2 	12 	
MSS2 	23 	535 	
PHO2 	15 	490 	
NSE4 	1 	0 	
QRI7 	19 	156 	
QRI1 	1 	0 	
POL3 	6 	88 	
DUN1 	25 	283 	
GET3 	11 	230 	
BUG1 	19 	498 	
SNU23 	1 	0 	
RPN6 	1 	0 	
OPI6 	10 	145 	
PMT1 	20 	488 	
YDL094C 	17 	266 	
PMT5 	42 	486 	
SRP14 	6 	99 	
UBX3 	24 	810 	
RAM1 	2 	1 	
NUR1 	17 	345 	
ASM4 	22 	297 	
LUC7 	7 	27 	
YDL086W 	36 	1262 	
YDL086C-A 	22 	1056 	
YDL085C-A 	2 	3 	
NDE2 	19 	426 	
SUB2 	0 	0 	
RPS16B 	10 	77 	
RPL13A 	7 	77 	
RPP1A 	1 	0 	
THI3 	29 	935 	
MRK1 	43 	871 	
MDH3 	17 	320 	
VAM6 	19 	143 	
RXT3 	13 	124 	
RPL31A 	3 	36 	
BRE1 	7 	70 	
YDL073W 	29 	657 	
YET3 	10 	265 	
YDL071C 	24 	257 	
BDF2 	29 	293 	
CBS1 	11 	141 	
YDL068W 	4 	22 	
COX9 	3 	14 	
IDP1 	26 	700 	
PEX19 	20 	304 	
UBC9 	1 	0 	
SYO1 	26 	412 	
YDL062W 	6 	24 	
RPS29B 	3 	14 	
TSR1 	1 	0 	
RAD59 	25 	219 	
USO1 	35 	863 	
YDL057W 	27 	802 	
MBP1 	33 	473 	
PSA1 	2 	1 	
MCH1 	58 	3033 	
PBP4 	14 	261 	
SLC1 	29 	1286 	
LHP1 	30 	580 	
YDL050C 	12 	200 	
KNH1 	35 	1545 	
STP4 	56 	1764 	
SIT4 	2 	25 	
NPC2 	18 	490 	
MRP10 	3 	5 	
FAD1 	2 	89 	
MTF2 	30 	555 	
PRP11 	3 	5 	
SIR2 	70 	2407 	
YDL041W 	17 	223 	
NAT1 	41 	1086 	
PRM7 	26 	721 	
BSC1 	23 	160 	
PUS9 	25 	834 	
GPR1 	29 	302 	
YDL034W 	5 	38 	
SLM3 	65 	2202 	
YDL032W 	10 	126 	
DBP10 	7 	70 	
PRP9 	5 	14 	
ARP2 	1 	0 	
MPS1 	7 	312 	
YDL027C 	36 	629 	
YDL026W 	8 	70 	
RTK1 	41 	639 	
YDL025W-A 	2 	1 	
DIA3 	54 	1862 	
YDL022C-A 	23 	1109 	
YDL023C 	17 	402 	
GPD1 	42 	1363 	
GPM2 	52 	1887 	
RPN4 	62 	673 	
OSH2 	135 	5945 	
ERP3 	21 	798 	
CDC7 	6 	71 	
YDL016C 	13 	103 	
TSC13 	0 	0 	
NOP1 	0 	0 	
SLX5 	30 	352 	
YDL012C 	23 	1105 	
YDL011C 	21 	700 	
GRX6 	38 	992 	
YDL009C 	18 	75 	
APC11 	9 	197 	
YDL007C-A 	16 	186 	
RPT2 	2 	2 	
PTC1 	15 	53 	
MED2 	50 	621 	
ATP16 	16 	185 	
MCD1 	12 	216 	
NHP10 	62 	3584 	
RMD1 	115 	10267 	
NTH1 	222 	12386 	
YRB1 	2 	2 	
