gene_name number_of_transposon_per_gene number_of_read_per_gene
SDH4 6 106
CSN9 3 28
YDR179W-A 13 294
SCC2 4 4
SAS4 15 346
CDC1 2 1
YDR182W-A 3 90
PLP1 8 227
YDR183C-A 3 210
ATC1 4 138
UPS3 8 230
YDR186C 18 300
YDR187C 14 599
CCT6 2 2
SLY1 3 2
RVB1 0 0
HST4 11 452
NUP42 9 109
YDR193W 10 165
MSS116 7 9
YDR194W-A 1 0
REF2 5 40
CAB5 4 16
CBS2 3 9
RKM2 11 287
YDR199W 4 39
VPS64 7 112
SPC19 1 0
RAV2 7 49
YDR203W 5 15
COQ4 7 57
MSC2 11 77
EBS1 14 326
UME6 34 1040
MSS4 13 465
YDR209C 11 217
YDR210W 5 41
GCD6 6 77
TCP1 6 76
UPC2 54 2218
AHA1 15 485
YDR215C 38 1022
ADR1 30 642
RAD9 41 1951
SPR28 21 721
MFB1 5 15
YDR220C 14 206
GTB1 23 320
YDR222W 15 702
CRF1 9 125
HTB1 2 1
HTA1 2 1
ADK1 8 112
SIR4 24 523
PCF11 4 4
IVY1 25 999
YDR230W 9 279
COX20 15 311
HEM1 2 1
RTN1 10 176
LYS4 21 794
PRP42 3 2
FMN1 2 1
MRPL7 5 7
SEC26 2 1
YDR239C 20 688
SNU56 9 166
BUD26 18 902
AMD2 19 911
PRP28 4 3
PEX5 28 1392
MNN10 12 293
TRS23 4 5
YDR246W-A 31 2495
VHS1 16 790
YDR248C 11 313
YDR249C 20 581
YDR250C 31 1677
PAM1 24 378
BTT1 4 32
MET32 10 114
CHL4 12 79
RMD5 8 24
CTA1 25 1123
RKM4 5 259
HSP78 49 2791
YAP6 35 1096
SWM1 26 1648
EXG2 22 500
YDR262W 6 43
DIN7 18 495
AKR1 12 66
PEX10 7 121
HEL2 20 458
CIA1 3 3
MSW1 4 6
YDR269C 3 11
CCC2 28 322
YDR271C 19 262
GLO2 11 329
DON1 12 200
YDR274C 45 3694
BSC2 14 391
PMP3 11 90
MTH1 17 837
YDR278C 19 691
RNH202 7 118
RRP45 3 3
PHM6 6 25
YDR282C 18 622
GCN2 26 420
DPP1 19 481
ZIP1 24 979
YDR286C 4 4
INM2 12 278
NSE3 3 10
RTT103 2 1
YDR290W 3 10
HRQ1 32 1165
SRP101 4 3
SSD1 32 882
DPL1 17 707
HDA2 20 877
MHR1 8 91
SUR2 14 161
ATP5 4 10
BFR2 0 0
PRO1 3 2
CFT1 3 2
GPI11 2 1
RSC3 5 8
CPR5 10 141
HNT2 13 582
YDR306C 16 609
PMT7 27 740
SRB7 0 0
GIC2 15 72
SUM1 21 587
TFB1 10 159
SSF2 21 986
PIB1 13 799
RAD34 21 599
IPK1 7 32
OMS1 16 450
HIM1 7 31
MCM21 6 16
YFT2 9 217
SWA2 17 550
DAD4 0 0
YDR320W-B 11 641
ASP1 11 289
MRPL35 7 98
TIM11 7 97
PEP7 12 159
UTP4 2 1
YCG1 7 63
YSP2 30 1259
YDR327W 2 1
SKP1 1 0
PEX3 10 505
UBX5 11 196
GPI8 2 1
IRC3 24 835
RQC1 9 94
SWR1 24 1031
MSN5 12 37
YDR336W 15 753
MRPS28 6 17
YDR338C 29 1382
FCF1 0 0
YDR340W 21 829
YDR341C 2 1
HXT7 1 0
HXT6 2 1
YDR344C 18 680
HXT3 36 1974
SVF1 29 1280
MRP1 4 3
PAL1 17 421
YPS7 15 318
ATP22 11 156
SBE2 20 556
YPQ2 19 662
TRR1 3 15
TRP4 23 957
YDR354C-A 2 1
YDR355C 0 0
SPC110 2 1
CNL1 13 447
GGA1 8 171
EAF1 21 585
OPI7 12 28
BCP1 1 0
TFC6 6 21
ESC2 5 42
SEM1 0 0
CDC40 5 7
ESF1 3 2
YDR366C 15 249
KEI1 2 61
YPR1 11 176
XRS2 35 1245
DXO1 14 300
CTS2 15 610
YDR371C-A 0 0
VPS74 3 9
FRQ1 0 0
PHO92 7 117
WIP1 4 131
BCS1 15 189
ARH1 3 4
ATP17 1 0
LSM6 0 0
RGA2 37 1526
SDH6 8 235
ARO10 33 1377
YRA1 7 75
YDR381C-A 1 0
RPP2B 1 0
NKP1 11 193
ATO3 28 2300
EFT2 0 0
MUS81 21 213
YDR387C 26 491
RVS167 14 211
SAC7 11 346
UBA2 5 21
YDR391C 10 332
SPT3 3 3
SHE9 26 369
RPT3 0 0
SXM1 18 459
YDR396W 2 1
NCB2 2 1
UTP5 2 2
HPT1 13 498
URH1 15 871
YDR401W 22 914
DIT2 32 1211
DIT1 23 1006
RPB7 0 0
MRP20 12 119
PDR15 116 5773
