gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR341C 4 3
HXT7 4 3
HXT6 3 5
YDR344C 21 442
HXT3 42 1442
SVF1 31 1028
MRP1 6 18
PAL1 14 398
YPS7 18 295
ATP22 7 169
SBE2 16 238
YPQ2 22 559
TRR1 3 21
TRP4 21 821
YDR354C-A 1 0
YDR355C 2 1
SPC110 4 3
CNL1 17 523
GGA1 9 65
EAF1 22 377
OPI7 10 29
BCP1 2 1
TFC6 10 36
ESC2 7 47
SEM1 1 0
CDC40 3 3
ESF1 5 4
YDR366C 16 387
KEI1 4 12
YPR1 8 51
XRS2 32 1258
DXO1 10 345
CTS2 16 662
YDR371C-A 0 0
VPS74 11 36
FRQ1 0 0
PHO92 11 301
WIP1 3 22
BCS1 12 511
ARH1 4 3
ATP17 3 2
LSM6 0 0
RGA2 33 1486
SDH6 6 49
ARO10 31 1081
YRA1 6 36
YDR381C-A 0 0
RPP2B 2 1
NKP1 12 398
ATO3 26 1267
EFT2 2 1
MUS81 14 211
YDR387C 16 597
RVS167 15 223
SAC7 15 501
UBA2 3 3
YDR391C 7 73
SPT3 2 1
SHE9 25 602
RPT3 2 2
SXM1 19 294
YDR396W 2 1
NCB2 2 1
UTP5 2 1
HPT1 18 728
URH1 17 1008
YDR401W 27 731
DIT2 38 1088
DIT1 25 697
RPB7 0 0
MRP20 14 275
PDR15 109 6689
YDR406W-A 7 36
TRS120 10 84
