gene_name	number_of_transposon_per_gene	number_of_read_pergene
YCR007C 	66 	1368 	
SAT4 	82 	1097 	
RVS161 	20 	166 	
ADY2 	65 	1511 	
ADP1 	183 	3412 	
PGK1 	3 	57 	
YCR013C 	6 	144 	
POL4 	106 	1604 	
YCR015C 	44 	830 	
YCR016W 	41 	532 	
CWH43 	123 	2507 	
SRD1 	17 	100 	
YCR018C-A 	17 	579 	
MAK32 	68 	1234 	
PET18 	44 	996 	
MAK31 	6 	52 	
HTL1 	1 	0 	
HSP30 	57 	1568 	
YCR022C 	33 	730 	
YCR023C 	113 	2639 	
SLM5 	5 	16 	
YCR024C-B 	8 	99 	
PMP1 	6 	24 	
YCR025C 	41 	1000 	
NPP1 	87 	1683 	
RHB1 	18 	78 	
FEN2 	21 	172 	
RIM1 	0 	0 	
SYP1 	87 	1798 	
RPS14A 	18 	125 	
BPH1 	129 	1533 	
SNT1 	68 	1391 	
ELO2 	15 	87 	
RRP43 	1 	0 	
RBK1 	45 	625 	
PHO87 	61 	982 	
BUD5 	37 	233 	
YCR038W-A 	4 	8 	
MATALPHA2 	1 	0 	
MATALPHA1 	0 	0 	
YCR041W 	2 	2 	
TAF2 	13 	191 	
YCR043C 	14 	294 	
PER1 	1 	0 	
RRT12 	72 	1295 	
YCR045W-A 	22 	241 	
IMG1 	7 	15 	
BUD23 	9 	17 	
YCR047W-A 	0 	0 	
YCR049C 	18 	567 	
ARE1 	75 	1942 	
YCR050C 	9 	220 	
YCR051W 	20 	300 	
RSC6 	6 	26 	
THR4 	10 	90 	
CTR86 	13 	79 	
PWP2 	9 	117 	
YIH1 	30 	549 	
TAH1 	8 	81 	
YCR061W 	139 	3041 	
YCR064C 	27 	911 	
BUD31 	15 	59 	
HCM1 	57 	824 	
RAD18 	22 	151 	
SED4 	82 	844 	
ATG15 	72 	1022 	
CPR4 	25 	380 	
IMG2 	2 	1 	
RSA4 	0 	0 	
SSK22 	98 	1656 	
SOL2 	29 	454 	
ERS1 	14 	160 	
YCR075W-A 	2 	11 	
FUB1 	16 	163 	
PAT1 	16 	202 	
PTC6 	27 	526 	
SRB8 	104 	1799 	
YCR081C-A 	11 	167 	
AHC2 	16 	197 	
TRX3 	11 	68 	
TUP1 	3 	21 	
YCR085W 	11 	44 	
CSM1 	11 	58 	
YCR087W 	11 	254 	
YCR087C-A 	10 	188 	
ABP1 	63 	1066 	
FIG2 	48 	271 	
YCR090C 	7 	144 	
KIN82 	47 	843 	
MSH3 	51 	326 	
CDC39 	22 	201 	
CDC50 	4 	7 	
OCA4 	27 	278 	
YCR095W-A 	5 	8 	
HMRA2 	0 	0 	
