gene_name	number_of_transposon_per_gene	number_of_read_pergene
SHS1 	28 	161 	
WHI4 	38 	388 	
HBT1 	98 	1053 	
FMP45 	34 	400 	
YDL221W 	50 	1466 	
CDC13 	46 	1088 	
DTD1 	12 	99 	
YDL218W 	27 	389 	
TIM22 	3 	18 	
RRI1 	45 	600 	
GDH2 	68 	1695 	
PRR2 	54 	1249 	
NOP6 	14 	201 	
SHR3 	3 	10 	
YDL211C 	61 	704 	
UGA4 	54 	872 	
CWC2 	3 	11 	
NHP2 	3 	6 	
GLE1 	8 	90 	
YDL206W 	28 	269 	
HEM3 	1 	0 	
RTN2 	31 	576 	
ACK1 	32 	402 	
MRPL11 	15 	144 	
TRM8 	25 	433 	
MGT1 	20 	208 	
YDL199C 	35 	354 	
GGC1 	15 	147 	
ASF2 	51 	556 	
YDL196W 	26 	583 	
SEC31 	0 	0 	
SNF3 	43 	197 	
NUS1 	4 	3 	
ARF1 	17 	202 	
RPL35A 	4 	4 	
UFD2 	52 	656 	
RBS1 	30 	394 	
PPH22 	30 	438 	
YDL187C 	17 	115 	
YDL186W 	22 	371 	
YDL185C-A 	10 	69 	
VMA1 	4 	5 	
RPL41A 	0 	0 	
YDL183C 	29 	330 	
LYS20 	36 	436 	
INH1 	11 	36 	
YDL180W 	25 	198 	
PCL9 	15 	91 	
DLD2 	53 	962 	
YDL177C 	19 	282 	
YDL176W 	41 	425 	
AIR2 	33 	409 	
DLD1 	66 	1532 	
PAR32 	21 	249 	
YDL172C 	14 	95 	
GLT1 	156 	2398 	
UGA3 	48 	810 	
UGX2 	15 	149 	
SFA1 	29 	612 	
NRP1 	65 	1062 	
FAP7 	4 	34 	
CDC36 	5 	27 	
CDC9 	11 	124 	
YDL163W 	10 	115 	
YDL162C 	28 	789 	
ENT1 	23 	182 	
MHF2 	8 	73 	
DHH1 	11 	130 	
YDL159W-A 	10 	76 	
STE7 	37 	347 	
YDL159C-B 	1 	0 	
YDL158C 	4 	19 	
YDL157C 	11 	26 	
CMR1 	74 	1370 	
CLB3 	27 	340 	
MSH5 	83 	1719 	
SAS10 	7 	49 	
YDL152W 	13 	118 	
BUD30 	6 	17 	
RPC53 	7 	29 	
ATG9 	34 	430 	
NOP14 	19 	213 	
RPN5 	0 	0 	
LDB17 	29 	176 	
COP1 	8 	119 	
YDL144C 	33 	1109 	
CCT4 	0 	0 	
CRD1 	36 	534 	
BPL1 	3 	27 	
RPO21 	8 	20 	
SCM3 	4 	3 	
RGT2 	72 	837 	
ARF2 	26 	313 	
RPL35B 	9 	145 	
RDI1 	20 	146 	
PPH21 	26 	225 	
RPL41B 	2 	6 	
SRF1 	32 	187 	
CDC53 	15 	52 	
LYS21 	35 	347 	
STF1 	10 	56 	
RPP1B 	16 	107 	
YDL129W 	24 	279 	
VCX1 	31 	575 	
PCL2 	52 	815 	
CDC48 	4 	4 	
HNT1 	21 	356 	
YDL124W 	25 	369 	
SNA4 	20 	284 	
UBP1 	34 	458 	
YDL121C 	15 	142 	
YFH1 	2 	2 	
YDL119C 	33 	432 	
YDL118W 	10 	157 	
CYK3 	60 	508 	
NUP84 	18 	197 	
IWR1 	22 	321 	
YDL114W-A 	0 	0 	
YDL114W 	34 	225 	
ATG20 	29 	127 	
TRM3 	102 	1631 	
RRP42 	3 	8 	
TMA17 	20 	248 	
YDL109C 	63 	632 	
KIN28 	3 	8 	
MSS2 	37 	425 	
PHO2 	35 	550 	
NSE4 	0 	0 	
QRI7 	34 	450 	
QRI1 	4 	11 	
POL3 	3 	5 	
DUN1 	46 	329 	
GET3 	24 	293 	
BUG1 	37 	370 	
SNU23 	3 	15 	
RPN6 	1 	0 	
OPI6 	12 	315 	
PMT1 	51 	797 	
YDL094C 	22 	796 	
PMT5 	69 	1051 	
SRP14 	12 	365 	
UBX3 	33 	421 	
RAM1 	6 	39 	
NUR1 	43 	413 	
ASM4 	28 	393 	
LUC7 	7 	34 	
YDL086W 	59 	1554 	
YDL086C-A 	35 	938 	
YDL085C-A 	9 	75 	
NDE2 	56 	830 	
SUB2 	2 	1 	
RPS16B 	30 	319 	
RPL13A 	18 	104 	
RPP1A 	8 	39 	
THI3 	47 	532 	
MRK1 	69 	887 	
MDH3 	33 	232 	
VAM6 	30 	236 	
RXT3 	39 	216 	
RPL31A 	5 	9 	
BRE1 	13 	33 	
YDL073W 	79 	1153 	
YET3 	20 	228 	
YDL071C 	36 	574 	
BDF2 	43 	324 	
CBS1 	26 	199 	
YDL068W 	10 	29 	
COX9 	4 	19 	
IDP1 	42 	780 	
PEX19 	48 	894 	
UBC9 	0 	0 	
SYO1 	47 	783 	
YDL062W 	8 	32 	
RPS29B 	3 	9 	
TSR1 	1 	0 	
RAD59 	32 	271 	
USO1 	50 	739 	
YDL057W 	42 	657 	
MBP1 	60 	926 	
PSA1 	1 	0 	
MCH1 	90 	2140 	
PBP4 	14 	86 	
SLC1 	43 	666 	
LHP1 	46 	939 	
YDL050C 	24 	401 	
KNH1 	61 	1044 	
STP4 	79 	1876 	
SIT4 	8 	249 	
NPC2 	26 	286 	
MRP10 	10 	165 	
FAD1 	2 	2 	
MTF2 	47 	585 	
PRP11 	5 	49 	
SIR2 	83 	1155 	
YDL041W 	24 	615 	
NAT1 	72 	750 	
PRM7 	49 	702 	
BSC1 	30 	397 	
PUS9 	46 	420 	
GPR1 	63 	756 	
YDL034W 	13 	75 	
SLM3 	87 	2317 	
YDL032W 	14 	140 	
DBP10 	4 	6 	
PRP9 	12 	79 	
ARP2 	2 	1 	
MPS1 	12 	259 	
YDL027C 	37 	310 	
YDL026W 	12 	139 	
RTK1 	66 	769 	
YDL025W-A 	5 	25 	
DIA3 	69 	1004 	
YDL022C-A 	21 	592 	
YDL023C 	24 	277 	
GPD1 	77 	1686 	
GPM2 	61 	623 	
RPN4 	99 	1528 	
OSH2 	196 	4927 	
ERP3 	30 	186 	
CDC7 	15 	97 	
YDL016C 	18 	139 	
TSC13 	0 	0 	
NOP1 	0 	0 	
SLX5 	27 	147 	
YDL012C 	32 	777 	
YDL011C 	21 	498 	
GRX6 	48 	716 	
YDL009C 	25 	138 	
APC11 	11 	150 	
YDL007C-A 	22 	262 	
RPT2 	1 	0 	
PTC1 	20 	57 	
MED2 	55 	437 	
ATP16 	16 	167 	
MCD1 	6 	172 	
NHP10 	58 	1475 	
RMD1 	136 	9131 	
NTH1 	238 	8774 	
YRB1 	4 	17 	
