gene_name	number_of_transposon_per_gene	number_of_read_pergene
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	1 	0 	
CHA1 	4 	97 	
VAC17 	20 	142 	
MRC1 	31 	205 	
KRR1 	4 	62 	
FYV5 	12 	216 	
ADF1 	3 	3 	
MIC10 	13 	151 	
PRD1 	30 	434 	
PEX34 	10 	53 	
KAR4 	14 	160 	
SPB1 	6 	67 	
PBN1 	9 	126 	
LRE1 	53 	1049 	
APA1 	23 	518 	
YCL049C 	34 	330 	
YCL048W-A 	7 	50 	
SPS22 	43 	1569 	
POF1 	18 	293 	
EMC1 	46 	869 	
YCL046W 	10 	55 	
MGR1 	67 	909 	
PDI1 	5 	13 	
YCL041C 	41 	435 	
YCL042W 	35 	906 	
GLK1 	123 	2755 	
GID7 	94 	2078 	
ATG22 	53 	649 	
SRO9 	57 	1108 	
GFD2 	129 	4283 	
GRX1 	13 	240 	
LSB5 	63 	1457 	
MXR2 	30 	359 	
STE50 	49 	1385 	
RRP7 	3 	3 	
HIS4 	77 	1509 	
BIK1 	101 	2819 	
RNQ1 	50 	1435 	
FUS1 	102 	2299 	
HBN1 	43 	268 	
FRM2 	41 	1157 	
AGP1 	139 	4073 	
YCL023C 	44 	1578 	
KCC4 	254 	6690 	
YCL022C 	48 	2445 	
YCL021W-A 	41 	1334 	
LEU2 	0 	0 	
NFS1 	5 	32 	
DCC1 	31 	298 	
BUD3 	426 	13168 	
YCL012C 	51 	584 	
GBP2 	119 	2839 	
SGF29 	68 	2459 	
ILV6 	93 	3033 	
STP22 	31 	495 	
YCL007C 	9 	134 	
VMA9 	10 	33 	
LDB16 	71 	1698 	
PGS1 	42 	1153 	
YCL002C 	92 	2410 	
RER1 	55 	300 	
YCL001W-A 	44 	309 	
YCL001W-B 	31 	610 	
YCR001W 	31 	1177 	
CDC10 	27 	206 	
MRPL32 	37 	1698 	
YCP4 	75 	1804 	
CIT2 	135 	4502 	
YCR006C 	15 	9220 	
YCR007C 	83 	2418 	
SAT4 	109 	2163 	
RVS161 	17 	90 	
ADY2 	76 	1992 	
ADP1 	185 	3822 	
PGK1 	2 	25 	
YCR013C 	5 	112 	
POL4 	113 	1960 	
YCR015C 	71 	1420 	
YCR016W 	58 	643 	
CWH43 	136 	2000 	
SRD1 	17 	197 	
YCR018C-A 	10 	327 	
MAK32 	85 	2420 	
PET18 	51 	1018 	
MAK31 	11 	175 	
HTL1 	2 	1 	
HSP30 	48 	1524 	
YCR022C 	36 	829 	
YCR023C 	121 	2588 	
SLM5 	34 	327 	
YCR024C-B 	11 	186 	
PMP1 	9 	56 	
YCR025C 	48 	1345 	
NPP1 	101 	1744 	
RHB1 	23 	124 	
FEN2 	23 	336 	
RIM1 	14 	65 	
SYP1 	83 	1157 	
RPS14A 	17 	247 	
BPH1 	188 	2072 	
SNT1 	45 	535 	
ELO2 	11 	74 	
RRP43 	0 	0 	
RBK1 	37 	431 	
PHO87 	74 	1465 	
BUD5 	40 	273 	
YCR038W-A 	5 	57 	
MATALPHA2 	2 	1 	
MATALPHA1 	0 	0 	
YCR041W 	6 	29 	
TAF2 	16 	122 	
YCR043C 	12 	420 	
PER1 	2 	1 	
RRT12 	98 	1475 	
YCR045W-A 	38 	398 	
IMG1 	27 	263 	
BUD23 	12 	31 	
YCR047W-A 	1 	0 	
YCR049C 	23 	590 	
ARE1 	73 	1942 	
YCR050C 	12 	100 	
YCR051W 	25 	362 	
RSC6 	6 	22 	
THR4 	17 	227 	
CTR86 	7 	19 	
PWP2 	9 	73 	
YIH1 	40 	1060 	
TAH1 	8 	111 	
YCR061W 	155 	3887 	
YCR064C 	25 	1141 	
BUD31 	10 	33 	
HCM1 	61 	711 	
RAD18 	17 	107 	
SED4 	96 	1484 	
ATG15 	84 	1510 	
CPR4 	27 	404 	
IMG2 	14 	182 	
RSA4 	0 	0 	
SSK22 	77 	1012 	
SOL2 	30 	391 	
ERS1 	25 	495 	
YCR075W-A 	5 	30 	
FUB1 	14 	394 	
PAT1 	20 	156 	
PTC6 	43 	700 	
SRB8 	28 	231 	
YCR081C-A 	5 	46 	
AHC2 	8 	56 	
TRX3 	11 	77 	
